pokedex_number,name,generation,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,release_date,speed_class,strength_category
8,Wartortle,1,Turtle Pokémon,1,Water,None,1.0,22.5,2,Torrent,None,Rain Dish,405.0,59.0,63.0,80.0,65.0,80.0,58.0,45.0,1996-01-01,Slow,weak
9,Blastoise,1,Shellfish Pokémon,1,Water,None,1.6,85.5,2,Torrent,None,Rain Dish,530.0,79.0,83.0,100.0,85.0,105.0,78.0,45.0,1996-01-01,Fast,Strong
9,Mega Blastoise,1,Shellfish Pokémon,1,Water,None,1.6,101.1,1,Mega Launcher,None,None,630.0,79.0,103.0,120.0,135.0,115.0,78.0,45.0,1996-01-01,Fast,Strong
10,Caterpie,1,Worm Pokémon,1,Bug,None,0.3,2.9,2,Shield Dust,None,Run Away,195.0,45.0,30.0,35.0,20.0,20.0,45.0,255.0,1996-01-01,Slow,weak
11,Metapod,1,Cocoon Pokémon,1,Bug,None,0.7,9.9,1,Shed Skin,None,None,205.0,50.0,20.0,55.0,25.0,25.0,30.0,120.0,1996-01-01,Slow,weak
12,Butterfree,1,Butterfly Pokémon,2,Bug,Flying,1.1,32.0,2,Compound Eyes,None,Tinted Lens,395.0,60.0,45.0,50.0,90.0,80.0,70.0,45.0,1996-01-01,Fast,weak
13,Weedle,1,Hairy Bug Pokémon,2,Bug,Poison,0.3,3.2,2,Shield Dust,None,Run Away,195.0,40.0,35.0,30.0,20.0,20.0,50.0,255.0,1996-01-01,Slow,weak
14,Kakuna,1,Cocoon Pokémon,2,Bug,Poison,0.6,10.0,1,Shed Skin,None,None,205.0,45.0,25.0,50.0,25.0,25.0,35.0,120.0,1996-01-01,Slow,weak
15,Beedrill,1,Poison Bee Pokémon,2,Bug,Poison,1.0,29.5,2,Swarm,None,Sniper,395.0,65.0,90.0,40.0,45.0,80.0,75.0,45.0,1996-01-01,Fast,weak
15,Mega Beedrill,1,Poison Bee Pokémon,2,Bug,Poison,1.4,40.5,1,Adaptability,None,None,495.0,65.0,150.0,40.0,15.0,80.0,145.0,45.0,1996-01-01,Fast,Strong
16,Pidgey,1,Tiny Bird Pokémon,2,Normal,Flying,0.3,1.8,3,Keen Eye,Tangled Feet,Big Pecks,251.0,40.0,45.0,40.0,35.0,35.0,56.0,255.0,1996-01-01,Slow,weak
17,Pidgeotto,1,Bird Pokémon,2,Normal,Flying,1.1,30.0,3,Keen Eye,Tangled Feet,Big Pecks,349.0,63.0,60.0,55.0,50.0,50.0,71.0,120.0,1996-01-01,Fast,weak
18,Pidgeot,1,Bird Pokémon,2,Normal,Flying,1.5,39.5,3,Keen Eye,Tangled Feet,Big Pecks,479.0,83.0,80.0,75.0,70.0,70.0,101.0,45.0,1996-01-01,Fast,Strong
18,Mega Pidgeot,1,Bird Pokémon,2,Normal,Flying,2.2,50.5,1,No Guard,None,None,579.0,83.0,80.0,80.0,135.0,80.0,121.0,45.0,1996-01-01,Fast,Strong
19,Rattata,1,Mouse Pokémon,1,Normal,None,0.3,3.5,3,Run Away,Guts,Hustle,253.0,30.0,56.0,35.0,25.0,35.0,72.0,255.0,1996-01-01,Fast,weak
19,Alolan Rattata,1,Mouse Pokémon,2,Dark,Normal,0.3,3.8,3,Gluttony,Hustle,Thick Fat,253.0,30.0,56.0,35.0,25.0,35.0,72.0,255.0,1996-01-01,Fast,weak
20,Raticate,1,Mouse Pokémon,1,Normal,None,0.7,18.5,3,Run Away,Guts,Hustle,413.0,55.0,81.0,60.0,50.0,70.0,97.0,127.0,1996-01-01,Fast,weak
20,Alolan Raticate,1,Mouse Pokémon,2,Dark,Normal,0.7,25.5,3,Gluttony,Hustle,Thick Fat,413.0,75.0,71.0,70.0,40.0,80.0,77.0,127.0,1996-01-01,Fast,weak
21,Spearow,1,Tiny Bird Pokémon,2,Normal,Flying,0.3,2.0,2,Keen Eye,None,Sniper,262.0,40.0,60.0,30.0,31.0,31.0,70.0,255.0,1996-01-01,Fast,weak
22,Fearow,1,Beak Pokémon,2,Normal,Flying,1.2,38.0,2,Keen Eye,None,Sniper,442.0,65.0,90.0,65.0,61.0,61.0,100.0,90.0,1996-01-01,Fast,Strong
23,Ekans,1,Snake Pokémon,1,Poison,None,2.0,6.9,3,Intimidate,Shed Skin,Unnerve,288.0,35.0,60.0,44.0,40.0,54.0,55.0,255.0,1996-01-01,Slow,weak
24,Arbok,1,Cobra Pokémon,1,Poison,None,3.5,65.0,3,Intimidate,Shed Skin,Unnerve,448.0,60.0,95.0,69.0,65.0,79.0,80.0,90.0,1996-01-01,Fast,Strong
25,Pikachu,1,Mouse Pokémon,1,Electric,None,0.4,6.0,2,Static,None,Lightning Rod,320.0,35.0,55.0,40.0,50.0,50.0,90.0,190.0,1996-01-01,Fast,weak
25,Partner Pikachu,1,Mouse Pokémon,1,Electric,None,0.4,6.0,1,,None,Lightning Rod,430.0,45.0,80.0,50.0,75.0,60.0,120.0,190.0,1996-01-01,Fast,weak
26,Raichu,1,Mouse Pokémon,1,Electric,None,0.8,30.0,2,Static,None,Lightning Rod,485.0,60.0,90.0,55.0,90.0,80.0,110.0,75.0,1996-01-01,Fast,Strong
26,Alolan Raichu,1,Mouse Pokémon,2,Electric,Psychic,0.7,21.0,1,Surge Surfer,None,None,485.0,60.0,85.0,50.0,95.0,85.0,110.0,75.0,1996-01-01,Fast,Strong
27,Sandshrew,1,Mouse Pokémon,1,Ground,None,0.6,12.0,2,Sand Veil,None,Sand Rush,300.0,50.0,75.0,85.0,20.0,30.0,40.0,255.0,1996-01-01,Slow,weak
27,Alolan Sandshrew,1,Mouse Pokémon,2,Ice,Steel,0.7,40.0,2,Snow Cloak,None,Slush Rush,300.0,50.0,75.0,90.0,10.0,35.0,40.0,255.0,1996-01-01,Slow,weak
28,Sandslash,1,Mouse Pokémon,1,Ground,None,1.0,29.5,2,Sand Veil,None,Sand Rush,450.0,75.0,100.0,110.0,45.0,55.0,65.0,90.0,1996-01-01,Slow,Strong
28,Alolan Sandslash,1,Mouse Pokémon,2,Ice,Steel,1.2,55.0,2,Snow Cloak,None,Slush Rush,450.0,75.0,100.0,120.0,25.0,65.0,65.0,90.0,1996-01-01,Slow,Strong
29,Nidoran♀,1,Poison Pin Pokémon,1,Poison,None,0.4,7.0,3,Poison Point,Rivalry,Hustle,275.0,55.0,47.0,52.0,40.0,40.0,41.0,235.0,1996-01-01,Slow,weak
30,Nidorina,1,Poison Pin Pokémon,1,Poison,None,0.8,20.0,3,Poison Point,Rivalry,Hustle,365.0,70.0,62.0,67.0,55.0,55.0,56.0,120.0,1996-01-01,Slow,weak
31,Nidoqueen,1,Drill Pokémon,2,Poison,Ground,1.3,60.0,3,Poison Point,Rivalry,Sheer Force,505.0,90.0,92.0,87.0,75.0,85.0,76.0,45.0,1996-01-01,Fast,Strong
32,Nidoran♂,1,Poison Pin Pokémon,1,Poison,None,0.5,9.0,3,Poison Point,Rivalry,Hustle,273.0,46.0,57.0,40.0,40.0,40.0,50.0,235.0,1996-01-01,Slow,weak
33,Nidorino,1,Poison Pin Pokémon,1,Poison,None,0.9,19.5,3,Poison Point,Rivalry,Hustle,365.0,61.0,72.0,57.0,55.0,55.0,65.0,120.0,1996-01-01,Slow,weak
34,Nidoking,1,Drill Pokémon,2,Poison,Ground,1.4,62.0,3,Poison Point,Rivalry,Sheer Force,505.0,81.0,102.0,77.0,85.0,75.0,85.0,45.0,1996-01-01,Fast,Strong
35,Clefairy,1,Fairy Pokémon,1,Fairy,None,0.6,7.5,3,Cute Charm,Magic Guard,Friend Guard,323.0,70.0,45.0,48.0,60.0,65.0,35.0,150.0,1996-01-01,Slow,weak
36,Clefable,1,Fairy Pokémon,1,Fairy,None,1.3,40.0,3,Cute Charm,Magic Guard,Unaware,483.0,95.0,70.0,73.0,95.0,90.0,60.0,25.0,1996-01-01,Slow,Strong
37,Vulpix,1,Fox Pokémon,1,Fire,None,0.6,9.9,2,Flash Fire,None,Drought,299.0,38.0,41.0,40.0,50.0,65.0,65.0,190.0,1996-01-01,Slow,weak
37,Alolan Vulpix,1,Fox Pokémon,1,Ice,None,0.6,9.9,2,Snow Cloak,None,Snow Warning,299.0,38.0,41.0,40.0,50.0,65.0,65.0,190.0,1996-01-01,Slow,weak
38,Ninetales,1,Fox Pokémon,1,Fire,None,1.1,19.9,2,Flash Fire,None,Drought,505.0,73.0,76.0,75.0,81.0,100.0,100.0,75.0,1996-01-01,Fast,Strong
38,Alolan Ninetales,1,Fox Pokémon,2,Ice,Fairy,1.1,19.9,2,Snow Cloak,None,Snow Warning,505.0,73.0,67.0,75.0,81.0,100.0,109.0,75.0,1996-01-01,Fast,Strong
39,Jigglypuff,1,Balloon Pokémon,2,Normal,Fairy,0.5,5.5,3,Cute Charm,Competitive,Friend Guard,270.0,115.0,45.0,20.0,45.0,25.0,20.0,170.0,1996-01-01,Slow,weak
40,Wigglytuff,1,Balloon Pokémon,2,Normal,Fairy,1.0,12.0,3,Cute Charm,Competitive,Frisk,435.0,140.0,70.0,45.0,85.0,50.0,45.0,50.0,1996-01-01,Slow,weak
41,Zubat,1,Bat Pokémon,2,Poison,Flying,0.8,7.5,2,Inner Focus,None,Infiltrator,245.0,40.0,45.0,35.0,30.0,40.0,55.0,255.0,1996-01-01,Slow,weak
42,Golbat,1,Bat Pokémon,2,Poison,Flying,1.6,55.0,2,Inner Focus,None,Infiltrator,455.0,75.0,80.0,70.0,65.0,75.0,90.0,90.0,1996-01-01,Fast,Strong
43,Oddish,1,Weed Pokémon,2,Grass,Poison,0.5,5.4,2,Chlorophyll,None,Run Away,320.0,45.0,50.0,55.0,75.0,65.0,30.0,255.0,1996-01-01,Slow,weak
44,Gloom,1,Weed Pokémon,2,Grass,Poison,0.8,8.6,2,Chlorophyll,None,Stench,395.0,60.0,65.0,70.0,85.0,75.0,40.0,120.0,1996-01-01,Slow,weak
45,Vileplume,1,Flower Pokémon,2,Grass,Poison,1.2,18.6,2,Chlorophyll,None,Effect Spore,490.0,75.0,80.0,85.0,110.0,90.0,50.0,45.0,1996-01-01,Slow,Strong
46,Paras,1,Mushroom Pokémon,2,Bug,Grass,0.3,5.4,3,Effect Spore,Dry Skin,Damp,285.0,35.0,70.0,55.0,45.0,55.0,25.0,190.0,1996-01-01,Slow,weak
47,Parasect,1,Mushroom Pokémon,2,Bug,Grass,1.0,29.5,3,Effect Spore,Dry Skin,Damp,405.0,60.0,95.0,80.0,60.0,80.0,30.0,75.0,1996-01-01,Slow,weak
48,Venonat,1,Insect Pokémon,2,Bug,Poison,1.0,30.0,3,Compound Eyes,Tinted Lens,Run Away,305.0,60.0,55.0,50.0,40.0,55.0,45.0,190.0,1996-01-01,Slow,weak
49,Venomoth,1,Poison Moth Pokémon,2,Bug,Poison,1.5,12.5,3,Shield Dust,Tinted Lens,Wonder Skin,450.0,70.0,65.0,60.0,90.0,75.0,90.0,75.0,1996-01-01,Fast,Strong
50,Diglett,1,Mole Pokémon,1,Ground,None,0.2,0.8,3,Sand Veil,Arena Trap,Sand Force,265.0,10.0,55.0,25.0,35.0,45.0,95.0,255.0,1996-01-01,Fast,weak
50,Alolan Diglett,1,Mole Pokémon,2,Ground,Steel,0.2,1.0,3,Sand Veil,Tangling Hair,Sand Force,265.0,10.0,55.0,30.0,35.0,45.0,90.0,255.0,1996-01-01,Fast,weak
51,Dugtrio,1,Mole Pokémon,1,Ground,None,0.7,33.3,3,Sand Veil,Arena Trap,Sand Force,425.0,35.0,100.0,50.0,50.0,70.0,120.0,50.0,1996-01-01,Fast,weak
51,Alolan Dugtrio,1,Mole Pokémon,2,Ground,Steel,0.7,66.6,3,Sand Veil,Tangling Hair,Sand Force,425.0,35.0,100.0,60.0,50.0,70.0,110.0,50.0,1996-01-01,Fast,weak
52,Meowth,1,Scratch Cat Pokémon,1,Normal,None,0.4,4.2,3,Pickup,Technician,Unnerve,290.0,40.0,45.0,35.0,40.0,40.0,90.0,255.0,1996-01-01,Fast,weak
52,Alolan Meowth,1,Scratch Cat Pokémon,1,Dark,None,0.4,4.2,3,Pickup,Technician,Rattled,290.0,40.0,35.0,35.0,50.0,40.0,90.0,255.0,1996-01-01,Fast,weak
52,Galarian Meowth,1,Scratch Cat Pokémon,1,Steel,None,0.4,7.5,3,Pickup,Tough Claws,Unnerve,290.0,50.0,65.0,55.0,40.0,40.0,40.0,,1996-01-01,Slow,weak
53,Persian,1,Classy Cat Pokémon,1,Normal,None,1.0,32.0,3,Limber,Technician,Unnerve,440.0,65.0,70.0,60.0,65.0,65.0,115.0,90.0,1996-01-01,Fast,Strong
53,Alolan Persian,1,Classy Cat Pokémon,1,Dark,None,1.1,33.0,3,Fur Coat,Technician,Rattled,440.0,65.0,60.0,60.0,75.0,65.0,115.0,90.0,1996-01-01,Fast,Strong
54,Psyduck,1,Duck Pokémon,1,Water,None,0.8,19.6,3,Damp,Cloud Nine,Swift Swim,320.0,50.0,52.0,48.0,65.0,50.0,55.0,190.0,1996-01-01,Slow,weak
55,Golduck,1,Duck Pokémon,1,Water,None,1.7,76.6,3,Damp,Cloud Nine,Swift Swim,500.0,80.0,82.0,78.0,95.0,80.0,85.0,75.0,1996-01-01,Fast,Strong
56,Mankey,1,Pig Monkey Pokémon,1,Fighting,None,0.5,28.0,3,Vital Spirit,Anger Point,Defiant,305.0,40.0,80.0,35.0,35.0,45.0,70.0,190.0,1996-01-01,Fast,weak
57,Primeape,1,Pig Monkey Pokémon,1,Fighting,None,1.0,32.0,3,Vital Spirit,Anger Point,Defiant,455.0,65.0,105.0,60.0,60.0,70.0,95.0,75.0,1996-01-01,Fast,Strong
58,Growlithe,1,Puppy Pokémon,1,Fire,None,0.7,19.0,3,Intimidate,Flash Fire,Justified,350.0,55.0,70.0,45.0,70.0,50.0,60.0,190.0,1996-01-01,Slow,weak
59,Arcanine,1,Legendary Pokémon,1,Fire,None,1.9,155.0,3,Intimidate,Flash Fire,Justified,555.0,90.0,110.0,80.0,100.0,80.0,95.0,75.0,1996-01-01,Fast,Strong
60,Poliwag,1,Tadpole Pokémon,1,Water,None,0.6,12.4,3,Water Absorb,Damp,Swift Swim,300.0,40.0,50.0,40.0,40.0,40.0,90.0,255.0,1996-01-01,Fast,weak
61,Poliwhirl,1,Tadpole Pokémon,1,Water,None,1.0,20.0,3,Water Absorb,Damp,Swift Swim,385.0,65.0,65.0,65.0,50.0,50.0,90.0,120.0,1996-01-01,Fast,weak
62,Poliwrath,1,Tadpole Pokémon,2,Water,Fighting,1.3,54.0,3,Water Absorb,Damp,Swift Swim,510.0,90.0,95.0,95.0,70.0,90.0,70.0,45.0,1996-01-01,Fast,Strong
63,Abra,1,Psi Pokémon,1,Psychic,None,0.9,19.5,3,Synchronize,Inner Focus,Magic Guard,310.0,25.0,20.0,15.0,105.0,55.0,90.0,200.0,1996-01-01,Fast,weak
64,Kadabra,1,Psi Pokémon,1,Psychic,None,1.3,56.5,3,Synchronize,Inner Focus,Magic Guard,400.0,40.0,35.0,30.0,120.0,70.0,105.0,100.0,1996-01-01,Fast,weak
65,Alakazam,1,Psi Pokémon,1,Psychic,None,1.5,48.0,3,Synchronize,Inner Focus,Magic Guard,500.0,55.0,50.0,45.0,135.0,95.0,120.0,50.0,1996-01-01,Fast,Strong
65,Mega Alakazam,1,Psi Pokémon,1,Psychic,None,1.2,48.0,1,Trace,None,None,600.0,55.0,50.0,65.0,175.0,105.0,150.0,50.0,1996-01-01,Fast,Strong
66,Machop,1,Superpower Pokémon,1,Fighting,None,0.8,19.5,3,Guts,No Guard,Steadfast,305.0,70.0,80.0,50.0,35.0,35.0,35.0,180.0,1996-01-01,Slow,weak
67,Machoke,1,Superpower Pokémon,1,Fighting,None,1.5,70.5,3,Guts,No Guard,Steadfast,405.0,80.0,100.0,70.0,50.0,60.0,45.0,90.0,1996-01-01,Slow,weak
68,Machamp,1,Superpower Pokémon,1,Fighting,None,1.6,130.0,3,Guts,No Guard,Steadfast,505.0,90.0,130.0,80.0,65.0,85.0,55.0,45.0,1996-01-01,Slow,Strong
69,Bellsprout,1,Flower Pokémon,2,Grass,Poison,0.7,4.0,2,Chlorophyll,None,Gluttony,300.0,50.0,75.0,35.0,70.0,30.0,40.0,255.0,1996-01-01,Slow,weak
70,Weepinbell,1,Flycatcher Pokémon,2,Grass,Poison,1.0,6.4,2,Chlorophyll,None,Gluttony,390.0,65.0,90.0,50.0,85.0,45.0,55.0,120.0,1996-01-01,Slow,weak
71,Victreebel,1,Flycatcher Pokémon,2,Grass,Poison,1.7,15.5,2,Chlorophyll,None,Gluttony,490.0,80.0,105.0,65.0,100.0,70.0,70.0,45.0,1996-01-01,Fast,Strong
72,Tentacool,1,Jellyfish Pokémon,2,Water,Poison,0.9,45.5,3,Clear Body,Liquid Ooze,Rain Dish,335.0,40.0,40.0,35.0,50.0,100.0,70.0,190.0,1996-01-01,Fast,weak
73,Tentacruel,1,Jellyfish Pokémon,2,Water,Poison,1.6,55.0,3,Clear Body,Liquid Ooze,Rain Dish,515.0,80.0,70.0,65.0,80.0,120.0,100.0,60.0,1996-01-01,Fast,Strong
74,Geodude,1,Rock Pokémon,2,Rock,Ground,0.4,20.0,3,Rock Head,Sturdy,Sand Veil,300.0,40.0,80.0,100.0,30.0,30.0,20.0,255.0,1996-01-01,Slow,weak
74,Alolan Geodude,1,Rock Pokémon,2,Rock,Electric,0.4,20.3,3,Magnet Pull,Sturdy,Galvanize,300.0,40.0,80.0,100.0,30.0,30.0,20.0,255.0,1996-01-01,Slow,weak
75,Graveler,1,Rock Pokémon,2,Rock,Ground,1.0,105.0,3,Rock Head,Sturdy,Sand Veil,390.0,55.0,95.0,115.0,45.0,45.0,35.0,120.0,1996-01-01,Slow,weak
75,Alolan Graveler,1,Rock Pokémon,2,Rock,Electric,1.0,110.0,3,Magnet Pull,Sturdy,Galvanize,390.0,55.0,95.0,115.0,45.0,45.0,35.0,120.0,1996-01-01,Slow,weak
76,Golem,1,Megaton Pokémon,2,Rock,Ground,1.4,300.0,3,Rock Head,Sturdy,Sand Veil,495.0,80.0,120.0,130.0,55.0,65.0,45.0,45.0,1996-01-01,Slow,Strong
76,Alolan Golem,1,Megaton Pokémon,2,Rock,Electric,1.7,316.0,3,Magnet Pull,Sturdy,Galvanize,495.0,80.0,120.0,130.0,55.0,65.0,45.0,45.0,1996-01-01,Slow,Strong
77,Ponyta,1,Fire Horse Pokémon,1,Fire,None,1.0,30.0,3,Run Away,Flash Fire,Flame Body,410.0,50.0,85.0,55.0,65.0,65.0,90.0,190.0,1996-01-01,Fast,weak
77,Galarian Ponyta,1,Unique Horn Pokémon,1,Psychic,None,0.8,24.0,3,Run Away,Pastel Veil,Anticipation,410.0,50.0,85.0,55.0,65.0,65.0,90.0,,1996-01-01,Fast,weak
78,Rapidash,1,Fire Horse Pokémon,1,Fire,None,1.7,95.0,3,Run Away,Flash Fire,Flame Body,500.0,65.0,100.0,70.0,80.0,80.0,105.0,60.0,1996-01-01,Fast,Strong
78,Galarian Rapidash,1,Unique Horn Pokémon,2,Psychic,Fairy,1.7,80.0,3,Run Away,Pastel Veil,Anticipation,500.0,65.0,100.0,70.0,80.0,80.0,105.0,,1996-01-01,Fast,Strong
79,Slowpoke,1,Dopey Pokémon,2,Water,Psychic,1.2,36.0,3,Oblivious,Own Tempo,Regenerator,315.0,90.0,65.0,65.0,40.0,40.0,15.0,190.0,1996-01-01,Slow,weak
80,Slowbro,1,Hermit Crab Pokémon,2,Water,Psychic,1.6,78.5,3,Oblivious,Own Tempo,Regenerator,490.0,95.0,75.0,110.0,100.0,80.0,30.0,75.0,1996-01-01,Slow,Strong
80,Mega Slowbro,1,Hermit Crab Pokémon,2,Water,Psychic,2.0,120.0,1,Shell Armor,None,None,590.0,95.0,75.0,180.0,130.0,80.0,30.0,75.0,1996-01-01,Slow,Strong
81,Magnemite,1,Magnet Pokémon,2,Electric,Steel,0.3,6.0,3,Magnet Pull,Sturdy,Analytic,325.0,25.0,35.0,70.0,95.0,55.0,45.0,190.0,1996-01-01,Slow,weak
82,Magneton,1,Magnet Pokémon,2,Electric,Steel,1.0,60.0,3,Magnet Pull,Sturdy,Analytic,465.0,50.0,60.0,95.0,120.0,70.0,70.0,60.0,1996-01-01,Fast,Strong
83,Farfetch'd,1,Wild Duck Pokémon,2,Normal,Flying,0.8,15.0,3,Keen Eye,Inner Focus,Defiant,377.0,52.0,90.0,55.0,58.0,62.0,60.0,45.0,1996-01-01,Slow,weak
83,Galarian Farfetch'd,1,Wild Duck Pokémon,1,Fighting,None,0.8,42.0,2,Steadfast,None,Scrappy,377.0,52.0,95.0,55.0,58.0,62.0,55.0,,1996-01-01,Slow,weak
84,Doduo,1,Twin Bird Pokémon,2,Normal,Flying,1.4,39.2,3,Run Away,Early Bird,Tangled Feet,310.0,35.0,85.0,45.0,35.0,35.0,75.0,190.0,1996-01-01,Fast,weak
85,Dodrio,1,Triple Bird Pokémon,2,Normal,Flying,1.8,85.2,3,Run Away,Early Bird,Tangled Feet,470.0,60.0,110.0,70.0,60.0,60.0,110.0,45.0,1996-01-01,Fast,Strong
86,Seel,1,Sea Lion Pokémon,1,Water,None,1.1,90.0,3,Thick Fat,Hydration,Ice Body,325.0,65.0,45.0,55.0,45.0,70.0,45.0,190.0,1996-01-01,Slow,weak
87,Dewgong,1,Sea Lion Pokémon,2,Water,Ice,1.7,120.0,3,Thick Fat,Hydration,Ice Body,475.0,90.0,70.0,80.0,70.0,95.0,70.0,75.0,1996-01-01,Fast,Strong
88,Grimer,1,Sludge Pokémon,1,Poison,None,0.9,30.0,3,Stench,Sticky Hold,Poison Touch,325.0,80.0,80.0,50.0,40.0,50.0,25.0,190.0,1996-01-01,Slow,weak
88,Alolan Grimer,1,Sludge Pokémon,2,Poison,Dark,0.7,42.0,3,Poison Touch,Gluttony,Power of Alchemy,325.0,80.0,80.0,50.0,40.0,50.0,25.0,190.0,1996-01-01,Slow,weak
89,Muk,1,Sludge Pokémon,1,Poison,None,1.2,30.0,3,Stench,Sticky Hold,Poison Touch,500.0,105.0,105.0,75.0,65.0,100.0,50.0,75.0,1996-01-01,Slow,Strong
89,Alolan Muk,1,Sludge Pokémon,2,Poison,Dark,1.0,52.0,3,Poison Touch,Gluttony,Power of Alchemy,500.0,105.0,105.0,75.0,65.0,100.0,50.0,75.0,1996-01-01,Slow,Strong
90,Shellder,1,Bivalve Pokémon,1,Water,None,0.3,4.0,3,Shell Armor,Skill Link,Overcoat,305.0,30.0,65.0,100.0,45.0,25.0,40.0,190.0,1996-01-01,Slow,weak
91,Cloyster,1,Bivalve Pokémon,2,Water,Ice,1.5,132.5,3,Shell Armor,Skill Link,Overcoat,525.0,50.0,95.0,180.0,85.0,45.0,70.0,60.0,1996-01-01,Fast,Strong
92,Gastly,1,Gas Pokémon,2,Ghost,Poison,1.3,0.1,1,Levitate,None,None,310.0,30.0,35.0,30.0,100.0,35.0,80.0,190.0,1996-01-01,Fast,weak
93,Haunter,1,Gas Pokémon,2,Ghost,Poison,1.6,0.1,1,Levitate,None,None,405.0,45.0,50.0,45.0,115.0,55.0,95.0,90.0,1996-01-01,Fast,weak
94,Gengar,1,Shadow Pokémon,2,Ghost,Poison,1.5,40.5,1,Cursed Body,None,None,500.0,60.0,65.0,60.0,130.0,75.0,110.0,45.0,1996-01-01,Fast,Strong
94,Mega Gengar,1,Shadow Pokémon,2,Ghost,Poison,1.4,40.5,1,Shadow Tag,None,None,600.0,60.0,65.0,80.0,170.0,95.0,130.0,45.0,1996-01-01,Fast,Strong
95,Onix,1,Rock Snake Pokémon,2,Rock,Ground,8.8,210.0,3,Rock Head,Sturdy,Weak Armor,385.0,35.0,45.0,160.0,30.0,45.0,70.0,45.0,1996-01-01,Fast,weak
96,Drowzee,1,Hypnosis Pokémon,1,Psychic,None,1.0,32.4,3,Insomnia,Forewarn,Inner Focus,328.0,60.0,48.0,45.0,43.0,90.0,42.0,190.0,1996-01-01,Slow,weak
97,Hypno,1,Hypnosis Pokémon,1,Psychic,None,1.6,75.6,3,Insomnia,Forewarn,Inner Focus,483.0,85.0,73.0,70.0,73.0,115.0,67.0,75.0,1996-01-01,Slow,Strong
98,Krabby,1,River Crab Pokémon,1,Water,None,0.4,6.5,3,Hyper Cutter,Shell Armor,Sheer Force,325.0,30.0,105.0,90.0,25.0,25.0,50.0,225.0,1996-01-01,Slow,weak
99,Kingler,1,Pincer Pokémon,1,Water,None,1.3,60.0,3,Hyper Cutter,Shell Armor,Sheer Force,475.0,55.0,130.0,115.0,50.0,50.0,75.0,60.0,1996-01-01,Fast,Strong
100,Voltorb,1,Ball Pokémon,1,Electric,None,0.5,10.4,3,Soundproof,Static,Aftermath,330.0,40.0,30.0,50.0,55.0,55.0,100.0,190.0,1996-01-01,Fast,weak
101,Electrode,1,Ball Pokémon,1,Electric,None,1.2,66.6,3,Soundproof,Static,Aftermath,490.0,60.0,50.0,70.0,80.0,80.0,150.0,60.0,1996-01-01,Fast,Strong
102,Exeggcute,1,Egg Pokémon,2,Grass,Psychic,0.4,2.5,2,Chlorophyll,None,Harvest,325.0,60.0,40.0,80.0,60.0,45.0,40.0,90.0,1996-01-01,Slow,weak
103,Exeggutor,1,Coconut Pokémon,2,Grass,Psychic,2.0,120.0,2,Chlorophyll,None,Harvest,530.0,95.0,95.0,85.0,125.0,75.0,55.0,45.0,1996-01-01,Slow,Strong
